HolderAddress,Balance,PendingBalanceUpdate,Date,Change
0x4f9f0a0b6597435e7b6d8e24296dfed54b2763f5,96002018.50281376,,2026-01-14 21:28,
0xd44b14c0bbaba98a0ed5e73250fd19769f13160c,0.0,,2026-01-14 21:28,
0x44551ca46fa5592bb572e20043f7c3d54c85cad7,92623005.95728822,,2026-01-14 21:28,
0xf8cfc5635327ee30a67523c26a8a49dd4e77a0f4,92500000.00003284,,2026-01-14 21:28,
0x3c46f73958e50ac8bedbc6cbedd7718b73c69298,0.0,,2026-01-14 21:28,
0x3aa04ae52fd1423272750a9a9ea47c2724d8f883,91071918.50853369,,2026-01-14 21:28,
0x7f90adebec02b3d8a083adb3c3cb5007dcf23356,0.0,,2026-01-14 21:28,
0x0e65cb6e1abb6366a20d7a552b3e1cc7a59bde50,90424742.6842671,,2026-01-14 21:28,
0xcb332a38a9770a99e0f986eb821f37190ad8cff3,0.0,,2026-01-14 21:28,
0x27661dda1fcb28835574fe39401f1e175b7cc2d1,0.0,,2026-01-14 21:28,
0x3453fd6413e0cbad92214247140922771c621409,0.0,,2026-01-14 21:28,
